step,loss,lr,step_time,optimizer,seed,peak_memory_mb,param_norm_l2,grad_norm_l2,update_norm_l2,update_ratio,grad_update_cos,hessian_top_eig,test_loss,test_ppl,test_acc,test_ece,generalization_gap
640,2.513621,0.01,0.007419,sgd,42,331.6089,1.69316057e+02,4.65022690e-01,1.71094219e-01,1.01050203e-03,-3.87977849e-02,nan,2.52697495e+00,1.25155885e+01,3.00415039e-01,2.45759016e-02,1.33544266e-02
650,2.487628,0.01,0.007733,sgd,42,331.6089,1.67619439e+02,4.33710257e-01,1.69333210e-01,1.01022418e-03,-3.21563094e-02,3.17309531e+01,2.52740088e+00,1.25209204e+01,3.00781250e-01,2.52622226e-02,3.97730887e-02
660,2.499787,0.01,0.007330,sgd,42,331.6089,1.65940036e+02,5.21611019e-01,1.67664481e-01,1.01039197e-03,-3.62708276e-02,nan,2.52080247e+00,1.24385742e+01,3.04443359e-01,2.44089455e-02,2.10153520e-02
670,2.505019,0.01,0.007495,sgd,42,331.6089,1.64277541e+02,4.68338037e-01,1.65994702e-01,1.01045280e-03,-3.71711772e-02,nan,2.52153879e+00,1.24477364e+01,3.01208496e-01,2.76171692e-02,1.65195584e-02
680,2.489180,0.01,0.007436,sgd,42,331.6089,1.62631754e+02,5.39258007e-01,1.64232159e-01,1.00984067e-03,-2.43613853e-02,nan,2.51921615e+00,1.24188583e+01,3.04931641e-01,2.23500085e-02,3.00364435e-02
690,2.499713,0.01,0.007687,sgd,42,331.6089,1.61002584e+02,3.80576474e-01,1.62540347e-01,1.00955117e-03,-9.99165881e-03,nan,2.52032125e+00,1.24325900e+01,3.01025391e-01,2.40542268e-02,2.06081629e-02
700,2.492640,0.01,0.007353,sgd,42,331.6089,1.59389919e+02,4.65314881e-01,1.60971529e-01,1.00992290e-03,-1.89785218e-02,2.98470384e+01,2.51471353e+00,1.23630666e+01,3.06457520e-01,2.63112895e-02,2.20735550e-02
710,2.523101,0.01,0.007692,sgd,42,331.6089,1.57793504e+02,3.24017174e-01,1.59375908e-01,1.01002832e-03,-1.43811621e-02,nan,2.51430318e+00,1.23579945e+01,3.05053711e-01,2.33709220e-02,-8.79748464e-03
720,2.498952,0.01,0.007477,sgd,42,331.6089,1.56213191e+02,3.36582654e-01,1.57889956e-01,1.01073383e-03,-4.25671886e-02,nan,2.51044938e+00,1.23104609e+01,3.05480957e-01,2.23403554e-02,1.14978731e-02
730,2.496961,0.01,0.007534,sgd,42,331.6089,1.54648689e+02,3.32782593e-01,1.56200988e-01,1.01003758e-03,-3.63353226e-03,nan,2.50740388e+00,1.22730264e+01,3.05664062e-01,2.00533796e-02,1.04425728e-02
